호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
1호선,서울역,742,17,9080,6035,10910,32383,30876,80123,55416,166935,40016,114520,39380,57897,47975,49064,56279,51793,59742,51590,49972,50339,66332,51602,70498,52447,117347,62669,170618,65953,89282,45561,60157,29940,58415,24039,41353,17736,14988,10966,71,867,10,15,0,4,0,0
1호선,동묘앞,132,0,3178,861,3276,3663,5598,8477,7558,20648,6955,17861,8393,19172,13287,27131,19154,31848,27150,34822,31753,33539,35209,27480,35160,19947,33198,13459,24124,9419,9768,6089,5473,4146,4665,3931,3041,3984,1282,2811,6,1714,1,11,0,1,0,0
1호선,시청,30,0,1849,3661,2920,17380,5780,52752,7239,143481,7592,69556,8683,29695,12560,26980,13633,23990,17418,23597,22359,20537,29588,18176,34831,15437,63868,16262,116917,15858,45847,8169,35862,4432,34468,3756,22497,2697,7583,1714,25,133,0,0,0,1,0,0
1호선,종각,118,2,2993,3787,3477,22236,5244,90183,8042,202351,10188,121694,13597,51133,20842,44311,25926,39876,32837,42371,39817,37216,51458,31813,59233,30642,114145,34724,176710,43002,79239,23646,64265,9370,71092,6146,54573,4115,22100,2500,78,210,3,3,2,1,0,0
1호선,종로3가,229,14,3923,2939,3693,10771,4878,21341,6775,60913,9904,66051,16904,53532,28029,54790,36197,55569,43553,55372,50161,51163,55510,42464,60941,35632,70198,32485,92624,34432,54663,18072,40178,8139,41998,5816,34907,4451,13250,3508,90,656,10,10,0,0,0,0
1호선,종로5가,47,0,1686,3527,2432,13704,4372,34274,6835,93464,10016,59396,15987,46139,24341,44454,30170,45177,35931,42968,43675,40565,48429,35209,52331,29256,69130,25010,92073,22801,45347,11900,28410,5427,23102,4133,16935,3089,5502,2185,19,361,2,3,0,0,0,0
1호선,동대문,532,7,12218,1891,8828,6470,13721,10859,17576,22802,16953,21992,15628,21926,17447,25315,20503,26004,22146,25912,24126,24449,24503,22820,25449,19953,26456,19939,24435,19974,16300,20032,12709,13916,11700,10700,9802,10135,4337,9920,36,1193,4,9,0,0,0,0
1호선,신설동,351,5,8182,2287,7745,7927,15607,23173,22221,58397,16030,34676,14181,20040,16855,18008,17791,18632,20106,19550,20425,17831,22394,17693,28191,18321,38035,20951,53207,24512,20793,17536,13252,10741,12113,9915,8556,9069,2988,6847,18,622,3,5,0,0,0,0
1호선,제기동,454,11,4560,1910,7628,7584,19552,18485,28156,38578,20605,33764,24062,38498,33407,45195,39267,43957,41580,45444,44964,46201,47688,38674,42727,29473,39556,23457,35166,24030,16207,16568,10446,10429,8416,8991,6326,8325,2302,5204,14,389,0,1,0,0,0,0
1호선,청량리(서울시립대입구),1440,46,10486,4831,14031,15843,36547,16367,43816,33216,30326,31650,28489,33308,34249,39693,37393,40719,39732,42197,43075,46327,45513,43613,49681,38924,47206,39589,40268,46486,22565,31516,17100,18977,11870,16650,8549,14825,3294,8969,60,1264,1,29,0,0,0,0
2호선,시청,26,1,916,1397,1805,13100,4079,57213,6268,180098,7599,76255,10261,22176,14640,18756,14759,18653,19048,20087,23458,18263,27770,16622,32000,13878,70659,15255,147523,14983,50886,7262,33678,3644,30289,3167,19433,2772,6078,2043,17,150,2,3,1,2,0,0
2호선,을지로입구,97,3,2011,1921,2555,22019,6646,103343,11132,248279,12488,126794,14465,56961,21884,49220,27029,42574,37019,41800,42829,37397,53310,34047,63383,32249,130703,35906,210339,38791,93746,20677,85107,10653,55163,9273,35911,8223,11298,5948,13,3039,6,4,0,7,0,0
2호선,을지로3가,9,0,835,1371,1835,14686,4387,55475,7680,130241,8218,58122,9857,26694,12522,20272,13933,18748,17597,21403,20822,19307,25167,17244,30681,17515,64117,20134,110660,24979,47227,14333,31279,7139,31641,5035,29023,3864,13496,2545,29,294,8,4,0,0,0,0
2호선,을지로4가,5,0,921,994,1492,10783,2595,27641,4779,68479,6131,38351,7800,21487,11044,19241,13674,17442,15368,17136,18309,16896,21685,14684,25247,12148,45059,11244,61279,10025,28548,5732,15058,2953,11620,2335,8343,1980,3177,1402,16,157,1,3,0,0,0,0
2호선,동대문역사문화공원(DDP),243,1,6875,865,4636,6550,5593,20360,8622,47235,8686,27639,9313,23645,12820,24187,14336,21962,16299,23813,20382,23467,25595,21259,30095,18436,37233,19164,39952,21646,25213,23395,18419,14461,18903,10202,13145,8142,5476,6847,19,645,5,12,0,1,0,0
2호선,신당,29,1,5822,1185,10439,7182,23594,15525,38674,32348,23922,21037,16374,16753,16183,17354,17997,17976,19522,19254,20126,19869,20536,20258,23042,23401,27074,29282,32471,40199,20514,27672,14991,17238,12422,15739,9984,13712,4133,9961,15,248,7,6,0,0,0,0
2호선,상왕십리,72,0,5317,535,11263,4687,33990,10833,53650,31759,29450,18159,18050,11615,16972,10631,17050,11984,17385,14207,15675,13864,17215,15932,17500,19315,21834,27719,26496,45118,16119,31105,10750,19085,9526,18779,7390,16393,2301,11336,3,97,0,9,0,0,0,0
2호선,왕십리(성동구청),828,2,6663,800,8835,4798,23160,10601,40268,26092,25477,16814,17378,12545,17667,13106,19493,15353,20848,16292,20671,17063,22315,18309,25346,21232,31557,29588,36843,49877,23088,32943,21025,19506,22616,16102,23546,15149,12699,11926,107,310,8,13,0,0,0,0
2호선,한양대,2,0,983,285,2215,4978,4462,10924,7684,35047,5665,27986,5278,19094,7413,11518,8563,15598,9622,15370,10617,13446,13321,9338,17268,8499,26966,9946,26506,11305,13381,6455,10223,4532,11403,4112,8475,3899,3709,2974,8,11,3,1,0,0,0,0
2호선,뚝섬,26,4,3400,1985,7171,12832,17452,28727,24978,112910,15923,69070,12510,28580,12711,21972,15279,23494,18303,26312,20917,24672,24812,24822,31129,25650,50396,28745,103241,36987,52397,23504,30658,13336,27436,10865,19587,9592,6073,6884,14,68,8,16,0,1,0,0
2호선,성수,47,0,5092,3194,8452,25286,21797,60715,28552,227174,22036,108030,18677,38826,19439,30256,22022,32381,26396,36530,29197,34054,33883,35619,43756,35797,85276,40091,181903,50008,82577,32006,47241,17076,45226,13877,34190,12852,10678,11416,12,4198,2,10,0,5,0,0
